Namespace(model_name='NeuMF')
--------------------------------------------- BEGIN: 2023-01-09 16:49:21 ---------------------------------------------

========================================================
 Arguments        | Values                              
========================================================
 batch_size       | 256                                
 beta_s           | 0.005                              
 beta_u           | 0.1                                
 beta_v           | 0.005                              
 beta_z           | 0.005                              
 clip_value       | 0.0                                
 dataset          | ml-20m                             
 dropout          | 0.2                                
 early_stop       | -1                                 
 emb_size         | 64                                 
 epoch            | 120                                
 eta1             | 0.2                                
 eval_batch_size  | 512                                
 fix_embedding    | 0                                  
 gamma_m          | 0.01                               
 gamma_s          | 0.9                                
 gamma_u          | 0.3                                
 gamma_v          | 0.9                                
 gamma_z          | 0.9                                
 gpu              | 1                                  
 init_last        | 1                                  
 l2               | 1e-07                              
 layers           | [64]                               
 load             | 1                                  
 loss_type        | BSVRB                              
 lr               | 0.0004                             
 ndcg_gamma       | 0.1                                
 ndcg_topk        | 300                                
 neuralndcg_temp  | 1.0                                
 num_neg          | 300                                
 num_pos          | 10                                 
 num_workers      | 8                                  
 optimizer        | Adam                               
 pretrain_model   | ../model/NeuMF/ml-20m_pretrained.pt
 random_seed      | 0                                  
 reorg_train_data | 1                                  
 run_name         | ml-20m_BSVRB_baseline              
 schedule         | [60]                               
 test_all         | 0                                  
 topk             | 5,10,20,50                         
 warmup_gamma     | 0.1                                
========================================================
GPU available: True
Load corpus from ../data/ml-20m/BaseReader.pkl
#params: 21158976
NeuMF(
  (mf_u_embeddings): Embedding(138494, 64)
  (mf_i_embeddings): Embedding(26745, 64)
  (mlp_u_embeddings): Embedding(138494, 64)
  (mlp_i_embeddings): Embedding(26745, 64)
  (mlp): ModuleList(
    (0): Linear(in_features=128, out_features=64, bias=True)
  )
  (dropout_layer): Dropout(p=0.2)
  (prediction): Linear(in_features=128, out_features=1, bias=False)
  (BSVRB_loss): BSVRB_NDCG_Loss()
)
current topk: 300
train_max_pos_items: 9244
dev_pos_items: 5
test_pos_items: 5
Load model from ../model/NeuMF/ml-20m_pretrained.pt
Reinitialize the last layer.
Optimizer: Adam
Epoch 1     loss=0.5043 [192.3 s]    dev=(NDCG@5:0.2484) [51.4 s] *
Epoch 2     loss=0.7098 [168.8 s]    dev=(NDCG@5:0.2585) [60.2 s] *
Epoch 3     loss=0.4411 [172.4 s]    dev=(NDCG@5:0.2776) [55.6 s] *
Epoch 4     loss=0.4150 [181.1 s]    dev=(NDCG@5:0.2974) [54.2 s] *
Epoch 5     loss=0.3940 [183.8 s]    dev=(NDCG@5:0.3163) [50.2 s] *
Epoch 6     loss=0.3767 [187.2 s]    dev=(NDCG@5:0.3314) [52.3 s] *
Epoch 7     loss=0.3606 [181.7 s]    dev=(NDCG@5:0.3429) [57.0 s] *
Epoch 8     loss=0.3490 [175.7 s]    dev=(NDCG@5:0.3508) [62.8 s] *
Epoch 9     loss=0.3362 [173.2 s]    dev=(NDCG@5:0.3584) [70.9 s] *
Epoch 10    loss=0.3243 [172.0 s]    dev=(NDCG@5:0.3635) [77.8 s] *
Epoch 11    loss=0.3137 [168.8 s]    dev=(NDCG@5:0.3677) [80.0 s] *
Epoch 12    loss=0.3042 [159.8 s]    dev=(NDCG@5:0.3706) [78.8 s] *
Epoch 13    loss=0.2961 [168.1 s]    dev=(NDCG@5:0.3724) [72.0 s] *
Epoch 14    loss=0.2875 [171.2 s]    dev=(NDCG@5:0.3735) [67.7 s] *
Epoch 15    loss=0.2800 [165.9 s]    dev=(NDCG@5:0.3751) [68.7 s] *
Epoch 16    loss=0.2732 [167.4 s]    dev=(NDCG@5:0.3767) [62.9 s] *
Epoch 17    loss=0.2667 [171.7 s]    dev=(NDCG@5:0.3771) [68.7 s] *
Epoch 18    loss=0.2615 [176.0 s]    dev=(NDCG@5:0.3768) [60.3 s]
Epoch 19    loss=0.2560 [174.7 s]    dev=(NDCG@5:0.3779) [59.4 s] *
Epoch 20    loss=0.2504 [175.1 s]    dev=(NDCG@5:0.3781) [56.3 s] *
Epoch 21    loss=0.2402 [176.6 s]    dev=(NDCG@5:0.3779) [56.7 s]
Epoch 22    loss=0.2365 [173.4 s]    dev=(NDCG@5:0.3791) [60.3 s] *
Epoch 23    loss=0.2314 [177.2 s]    dev=(NDCG@5:0.3793) [55.3 s] *
